index	event	rel	is_certain(1:certain; 0:uncertain)	gene/protein	disease	sentence
1612	A. Expression	C. Cause	1	NRBP2	dilated cardiomyopathy	The altered expression of autophagy-related genes participates in heart failure: NRBP2 and CALCOCO2 are associated with left ventricular dysfunction parameters in human dilated cardiomyopathy.
1613	A.2 Under-expression	C. Cause	1	MYBPC3	cardiomyopathy	We discovered that the hyperplastic to hypertrophic transition phase of mammalian heart development was altered in mice lacking MYBPC3 and this was the critical period for subsequent development of cardiomyopathy.
1614	M.2 Knock in	H. Benefit	1	VEGF	myocardial infarction	Angiogenesis in a rat model following myocardial infarction induced by hypoxic regulation of VEGF₁₆₅ gene-transfected EPCs.
1615	I. None	E. Associate	1	b-type natriuretic peptide	chronic heart failure	Combination of B-type natriuretic peptide and peak oxygen consumption improves risk stratification in outpatients with chronic heart failure.
1616	H. Other	F. None	1	insulin	ischemic heart disease	Adipocytokines, fat tissue derived factors with regulatory properties, are involved in the pathophysiology of atheromatous and metabolic illnesses such as: ischemic heart disease, insulin resistance, obesity, dyslipidemia and diabetes mellitus.
1617	I. None	B. Target	1	ABCA1	cardiovascular disease	Brothers in Arms: ABCA1- and ABCG1-Mediated Cholesterol Efflux as Promising Targets in Cardiovascular Disease Treatment.
1618	I. None	E. Associate	1	neogenin	stroke	Toward the development of a treatment for stroke, we developed a human anti-RGMa antibody that also prevents Neogenin association with lipid rafts.
1619	I. None	A. Treat	1	coq10	myocardial infarction	This study was done to determine the effects of CoQ10 administration on cardiometabolic markers in overweight diabetic patients with stable myocardial infarction.
1620	I. None	B. Target	1	HDAC2	stroke	These data suggest that HDAC2 may represent the potential target for anti-stroke therapy and its selective inhibition may be a promising strategy for the protection of the penumbra tissue after ischemic stroke.
1621	D.5 Polymorphism	E. Associate	1	CYP2C19	stroke	In stratified analyses by CYP2C19 genotype and ESRS, HRs (95% CIs) of the clopidogrel-aspirin therapy for stroke recurrence were 1.00 (0.70~1.42), 0.63 (0.41~0.97), 0.62 (0.40~0.96), and 0.52 (0.31~0.88) among subgroups of LoFA carriers at low risk, LoFA carriers at high risk, LoFA noncarriers at low risk, and LoFA noncarriers at high risk, respectively, with p = 0.021 for interaction.
1622	I. None	A. Treat	1	botulinum toxin type A	stroke	To compare the clinical effectiveness and cost-effectiveness of treating upper limb spasticity due to stroke with botulinum toxin type A plus an upper limb therapy programme with the upper limb therapy programme alone.
1623	H. Other	E. Associate	0	insulin	cardiovascular disease	DNA methylation from whole blood DNA was quantified using pyrosequencing at 5 CpG sites at the KCNQ1 locus in 510 individuals without diabetes from the 'Relationship between Insulin Sensitivity and Cardiovascular disease' (RISC) cohort.
1624	H. Other	H. Benefit	1	activated protein C	ischemic stroke	Activated protein C analog promotes neurogenesis and improves neurological outcome after focal ischemic stroke in mice via protease activated receptor 1.
1625	M.1 Knock down	H. Benefit	1	TNNT2	dilated cardiomyopathy	By selectively targeting a pathogenic mutation (TNNT2 p.R173W) in patient-specific iPSC-derived cardiac myocytes, we demonstrated that the knockout strategy ameliorates the dilated cardiomyopathy phenotype in vitro.
1626	D.5 Polymorphism	G. Marker	1	APOC2	cardiovascular disease	The analyzed markers correspond to polymorphic sites in several candidate genes for cardiovascular disease including apolipopoteins and their receptors (APOA1, APOB, APOE, APOC1, APOC2, LPA, and LDLR), genes implied in the hemostasis regulation (Factor VII, alpha and beta-fibrinogen, alpha and beta platelet-integrin, tissue plasminogen activator, and plasminogen activator inhibitor-1), and the angiotensin converting enzyme gene.
1627	L. Be regulated	E. Associate	1	MMP9	ischemic stroke	This study aimed to explore potential new drugs in the treatment of ischemic stroke by Connectivity Map (CMap) and to determine the role of luteolin on ischemic stroke according to its effects on matrix metalloproteinase-9 (MMP9) and PI3K/Akt signaling pathway.
1628	D.1 Mutation	C. Cause	0	coxsackievirus B3	cardiomyopathy	To investigate the mechanisms by which restricted viral replication with low level expression of Coxsackieviral proteins may be able to induce cardiomyopathy, we generated transgenic mice which express a replication-restricted full-length Coxsackievirus B3 (CVB3) cDNA mutant (CVB3DeltaVP0) in the heart driven by the cardiac myocyte-specific myosin light chain-2v (MLC-2v) promoter.
1629	I. None	A. Treat	0	botulinum toxin type A	stroke	The results of modified ashworth score at different joints, pain score, barthel index showed no difference was found in the effectiveness of botulinum toxin type A compared with placebo in the treatment of the upper limb spasticity after stroke.
1630	A. Expression	E. Associate	0	RNF213	cerebral ischemia	However, information regarding the temporal and spatial expression patterns of the RNF213 gene under the condition of cerebral ischemia, which is one of characteristic pathologies associated with MMD, is currently limited.
1631	I. None	E. Associate	0	CRP	stroke	Higher D-dimer increased the risk of stroke and CHD independent of cardiovascular risk factors and CRP, with perhaps a stronger association for CHD versus stroke in blacks than whites.
1632	A.2 Under-expression	C. Cause	1	CASQ2	mitochondrial cardiomyopathy	Mitochondrial cardiomyopathy is associated with deleterious remodelling of cardiomyocyte Ca(2+) signalling that is partly due to the suppressed expression of the sarcoplasmic reticulum (SR) Ca(2+) buffer calsequestrin (CASQ2).
1633	I. None	A. Treat	0	EPO	subarachnoid haemorrhage	We investigated the in vivo effects of subcutaneously administered recombinant EPO on impaired cerebral blood flow (CBF) autoregulation after experimental subarachnoid haemorrhage (SAH).
1634	A. Expression	E. Associate	1	GAPDH	transient cerebral ischemia	In the present report we have investigated the concomitant changes in VEGF and glyceraldehyde dehydrogenase (GAPDH) mRNA expression in a model of permanent and transient cerebral ischemia.
1635	D.1 Mutation	F. None	1	MTHFR	myocardial infarction	FV Leiden, prothrombin 20210 variant, and MTHFR mutation are no risk factors for left ventricular thrombus in patients with myocardial infarction.The presence of multiple mutations did not influence the development and outcome of LV thrombus in patients with myocardial infarction
1636	D.5 Polymorphism	C. Cause	1	RANTES	cardiovascular disease	Three polymorphisms in the promoter region of the chemokine RANTES (-403G/A, -28G/C, In1.1T/C) are associated with a different expression of this chemokine as well as the occurrence of cardiovascular disease.
1637	D.5 Polymorphism	E. Associate	1	ALDH2	stroke	Previous studies have shown that polymorphisms at aldehyde dehydrogenase 2 (ALDH2) gene were independently associated with the risk of stroke.
1638	G. Regulate	E. Associate	1	TP	cerebral infarction	This study has shown a novel role of TP in microglia activation via the ERK signaling pathway, which provides insights for the management of neuroinflammation in diseases like cerebral infarction.
1639	J. Inhibition	A. Treat	0	ACE	coronary artery disease	The possible clinical benefit of ACE inhibition in atherosclerosis is currently being assessed in several large-scale trials with both surrogate and clinical outcome measures in high-risk patients with clinically manifest atherosclerosis, principally coronary artery disease.
1640	D.1 Mutation	E. Associate	0	GCKR	ischemic stroke	The present study was to determine the association of two single nucleotide polymorphisms (SNPs) in the glucokinase regulator gene (GCKR) and serum lipid levels, and the risk of coronary artery disease (CAD) and ischemic stroke (IS).
1641	D.1 Mutation	F. None	1	dystrophin	dilated cardiomyopathy	In a 24-year-old male with DMD due to the point mutation c.4213C>T (p.Gln1405X) in exon 30 of the dystrophin gene, cardiologic examination at the age of 23 years revealed asymptomatic severely reduced systolic dysfunction with a fractional shortening of 14% in the absence of dilated cardiomyopathy.
1642	I. None	E. Associate	1	translocator protein	stroke	The translocator protein (TSPO) is an important target for imaging focal neuroinflammation in diseases such as brain cancer, stroke and neurodegeneration, but current tracers for non-invasive imaging of TSPO have important limitations.
1643	I. None	E. Associate	0	PENK	chronic heart failure	In 2180 patients with HF of a large multicenter cohort (BIOSTAT-CHF [A Systems Biology Study to Tailored Treatment in Chronic Heart Failure]), the relationship between PENK and clinical variables, plasma and urinary biomarkers, and clinical end points was established.
1644	J. Inhibition	H. Benefit	1	ACE	heart failure	It is not known how the angiotensin-converting enzyme (ACE) inhibitor and angiotensin II receptor blocker (ARB) attenuate heart failure (HF) in viable ischemic hearts.
1645	A. Expression	F. None	1	CRP	stroke	In multivariate regression analysis adjusting for age, sex, race/ethnicity, smoking history, hypertension, diabetes mellitus, recent neurologic symptoms (<120 days), CAD, PVD, myocardial infarction, stroke or transient ischemic attack, hypercholesterolemia, aspirin or nonsteroidal anti-inflammatory drug use, and 3-hydroxy-3-methylglutaryl coenzyme A reductase inhibitor (statin) use, CRP level was independently associated with carotid stenosis (odds ratio [OR], 1.2; 95% confidence interval [CI], 1.1-1.5; P =.04), and LDL-C level was not (OR, 1.0; 95% CI, 0.98-1.01; P =.8).
1646	D.1 Mutation	E. Associate	0	TTR	restrictive cardiomyopathy	A 40-year-old man presented with initial symptoms of syncope caused by restrictive cardiomyopathy and autonomic nervous system impairment, but it was confirmed that he had a novel transthyretin (TTR) variant, aspartic acid-18 glutamic acid (Glu), and a de novo gene mutation.
1647	D.1 Mutation	C. Cause	1	selenoprotein N	multi-minicore disease	The genetic causes are diverse; central core disease is most often caused by mutations in ryanodine receptor 1 (RYR1), whereas multi-minicore disease is linked to pathogenic variants of several genes, including selenoprotein N (SELENON), RYR1 and titin (TTN).
1648	I. None	E. Associate	1	angiotensin II	dilated cardiomyopathy	Dilated cardiomyopathy and impaired cardiac hypertrophic response to angiotensin II in mice lacking FGF-2.
1649	G. Regulate	H. Benefit	0	LIF	stroke	The goal of this study was to determine whether LIF protects neurons during stroke by upregulating superoxide dismutase 3 (SOD3).
1650	I. None	F. None	1	c-reactive protein	cardiovascular disease	The purpose of this study was to assess whether increasing serum uric acid (UA) levels are related to cardiovascular disease (CVD) mortality, all-cause mortality, and incident (fatal and nonfatal) myocardial infarction (MI) in men from the general population taking into account C-reactive protein (CRP), a sensitive marker of systemic inflammation.
1651	D.1 Mutation	E. Associate	1	CYP4F2	stroke	Our results suggest that genetic variation in CYP4A11 and CYP4F2 alters susceptibility to stroke in the Han Chinese population.
1652	A.1 Over-expression	A. Treat	1	GDNF	stroke	These results imply that intrathecal injection of genetically engineered UCB-MC over-expressing therapeutic molecules (VEGF, GDNF, and NCAM) following cerebral blood vessel occlusion might represent a novel avenue for future research into treating stroke.
1653	A.2 Under-expression	E. Associate	0	asp	cerebral infarction	As compared with the model group, the high and medium dose GDLMI groups can significantly reduce the cerebral infarction rate and improve the symptoms of neurological impairment; increase SOD and GSH activity, reduce MDA and LA content in serum; increase Ca2+ concentration in cerebrospinal fluid and decrease the content of neurotransmitter Glu and Asp as well as CK-BB and LDH.
1654	J. Inhibition	A. Treat	1	MR	heart failure	Mineralocorticoid receptor (MR) blockade is effective in reducing total mortality and the incidence of heart failure in patients with systolic left ventricular dysfunction (SLVD) associated with chronic heart failure or post myocardial infarction.
1655	I. None	G. Marker	1	CRP	coronary artery disease	C-reactive protein (CRP) is proposed as a screening test for predicting risk and guiding preventive approaches in coronary artery disease (CAD).
1656	I. None	F. None	1	HDL	coronary atherosclerosis	Common genetic variants at the ARL15 locus are associated with plasma adiponectin, insulin and HDL cholesterol concentrations, obesity, and coronary atherosclerosis.
1657	L. Be regulated	C. Cause	1	AQP2	congestive heart failure	AQP2 is vasopressin regulated, it is the only family member to be implicated in human pathology, such as nephrogenic diabetes insipidus, congestive heart failure, hepatic cirrhosis, nephrotic syndrome or SIADH.
1658	D.1 Mutation	E. Associate	1	ATM	ataxia telangiectasia	Characterization of ATM mutations in 41 Nordic families with ataxia telangiectasia.
1659	A.2 Under-expression	H. Benefit	1	GLUT4	chronic heart failure	Compared with the AMI group, the ALLO group exhibited increased respiratory-chain enzyme activity, as well as increased PGC-1α and CPT-1 mRNA and protein expression, decreased MDA content, and decreased XO and GLUT4 mRNA and protein expression.ALLO improves myocardial energy metabolism in rats with chronic heart failure, which may result from the regulation of PGC-1α in the setting of glycolipid metabolism, enhancing the production of ATP.
1660	D.1 Mutation	E. Associate	1	LMNA	dilated cardiomyopathy	Expanding the phenotype of LMNA mutations in dilated cardiomyopathy and functional consequences of these mutations.
1661	D.1 Mutation	E. Associate	1	ataxia telangiectasia mutated	ataxia telangiectasia	ATM (ataxia telangiectasia mutated), the gene mutated in ataxia telangiectasia, is related to a family of large phosphatidylinositol 3-kinase domain-containing proteins involved in cell cycle control and DNA repair.
1662	A. Expression	E. Associate	0	PKC	ventricular arrhythmia	Burst stimulus method was used to induce ventricular arrhythmia in perfused rabbit hearts; Real-time PCR was used to detect the mRNA expression of PKC in four different areas of ventricle.
1663	F.2 Methylation	E. Associate	0	MTHFD1	stroke	The diagnostic value of MTHFD1 methylation for stroke was also examined.
1664	A. Expression	E. Associate	1	RAGE	cerebral ischemia	Neuronal RAGE expression modulates severity of injury following transient focal cerebral ischemia.
1665	I. None	E. Associate	1	CREB	dilated cardiomyopathy	Taken together, these results implicate CREB as an important regulator of cardiac myocyte function and provide a genetic model of dilated cardiomyopathy which should facilitate studies of both the pathogenesis and therapy of this clinically important disorder.
1666	I. None	F. None	1	insulin	coronary heart disease	As lipoprotein(a) is an independent risk factor for the development of coronary heart disease we determined the effect on serum lipid and lipoprotein(a) levels of dietary fibre and of treatment with insulin in patients with diabetes mellitus type II.
1667	D.1 Mutation	E. Associate	0	HCN4	arrhythmogenic right ventricular dysplasia	It confirmed the involvement of HCN4 mutations in the combined bradycardia–myocardial non-compaction phenotype, and also suggested, for the first time, the involvement of PKP2, usually associated with arrhythmogenic right ventricular dysplasia, in ventricular non-compaction.
1668	J. Inhibition	A. Treat	1	vasopressin V2 receptor	congestive heart failure	Chronic hyponatremia due to disorders of volume regulation (congestive heart failure or cirrhosis) or to syndrome of inappropriate antidiuretic hormone release can be managed effectively with vasopressin V2 receptor antagonists, but there is no evidence that controlling the hyponatremia enhances survival associated with the underlying diseases.
1669	L.2 Down-regulation	A. Treat	1	HMGB1	ischemic heart disease	This protective effect is correlated with downregulation of HMGB1 and downstream proinflammatory cascades, which could be useful for the development of novel treatment for ischemic heart disease.
1670	I. None	A. Treat	1	tissue plasminogen activator	ischemic stroke	He was diagnosed with acute ischemic stroke and treated with tissue plasminogen activator.
1671	L. Be regulated	H. Benefit	1	AIF	stroke	Thus, PARP inhibition is neuroprotective and regulates the ischemic nuclear translocation of AIF in stroke.
1672	A. Expression	G. Marker	1	b-type natriuretic peptide	heart failure	The expression of B-type natriuretic peptide, a marker of heart failure, was significantly increased by T3 and ameliorated by melatonin or vitamin E treatments.
1673	H. Other	E. Associate	0	angii	arrhythmia	We aimed to determine the role of p21-activated kinase 1 (Pak1), a downstream target in the AngII signaling cascade, in atrial electrophysiology and arrhythmia.
1674	A.1 Over-expression	C. Cause	1	interleukin 6	cardiovascular disease	Interleukin 6 (IL-6) is an inflammatory cytokine overexpressed in obese individuals that contributes to the development of diseases such as insulin resistance, type 2 diabetes, and cardiovascular disease.
1675	H. Other	E. Associate	1	insulin	stroke	Resistive training improves insulin sensitivity after stroke.
1676	H. Other	E. Associate	0	superoxide dismutase	cardiovascular injury	To elucidate the potential role of local renin-angiotensin system in aldosterone-induced cardiovascular injury, we investigated the effects of selective mineralocorticoid receptor (MR) antagonist eplerenone (EPL), angiotensin (Ang) II type 1 receptor antagonist candesartan (ARB), and superoxide dismutase mimetic tempol (TEM) on the development of hypertension, vascular injury, oxidative stress, and inflammatory-related gene expression in aldosterone-treated hypertensive rats.
1677	I. None	A. Treat	1	tissue plasminogen activator	stroke	Intravenous tissue plasminogen activator (tPA) is the only approved therapy for acute ischemic stroke, although only 2% of patients with stroke receive intravenous tPA nationally.
1678	I. None	A. Treat	1	tissue plasminogen activator	ischemic stroke	Intravenous tissue plasminogen activator and defibrinogenating agent are both now approved by the Food and Drug Administration for treatment of acute ischemic stroke within 3 h of symptom onset.
1679	D.1 Mutation	E. Associate	1	BAG3	dilated cardiomyopathy	The BAG3 gene variants in Polish patients with dilated cardiomyopathy: four novel mutations and a genotype-phenotype correlation.
1680	I. None	A. Treat	1	rt-pa	ischemic stroke	In this study, we examine risk factors and consequences of intravenous rt-PA for treatment of acute ischemic stroke.
1681	I. None	A. Treat	1	tissue plasminogen activator	ischemic stroke	All acute ischemic stroke patients presenting between 11/2009 and 2/2011 eligible for tissue plasminogen activator therapy were screened and 56 enrolled.
1682	A.2 Under-expression	H. Benefit	1	myeloperoxidase	ischemic stroke	Trigonelline therapy confers neuroprotection by reduced glutathione mediated myeloperoxidase expression in animal model of ischemic stroke.
1683	I. None	A. Treat	1	tissue plasminogen activator	ischemic stroke	The rates and extent of recovery in acute ischemic stroke (AIS) patients treated with intravenous tissue plasminogen activator (IV-tPA) remain highly variable.
1684	A. Expression	E. Associate	0	p21	heart failure	The expression of the CIP/KIP cyclin dependent kinase inhibitors p21, p27, p57 and the retinoblastoma protein was examined in acute (seen in brain dead transplant donors) and end-stage heart failure by Western blot analysis and compared to that seen in human and rat cardiac development.
1685	I. None	A. Treat	1	beta-blockers	congestive heart failure	Large, randomized, placebo-controlled studies have shown significant beneficial effects for several classes of drugs (angiotensin-converting enzyme inhibitors, angiotensin II receptor blockers, beta-blockers, aldosterone antagonists) in patients with congestive heart failure.
1686	A. Expression	E. Associate	0	leptin	stroke	It is unclear whether adiponectin, leptin, and resistin levels or the single-nucleotide polymorphisms of their encoding genes are independently associated with stroke risk.
1687	G. Regulate	E. Associate	1	sirtuin 3	cardiovascular disease	The mitochondrial deacetylase Sirt3 (Sirtuin 3) is critical in the regulation of metabolic and antioxidant functions which are associated with hypertension, and cardiovascular disease risk factors diminish Sirt3 level.
1688	A. Expression	E. Associate	1	NHE1	myocardial infarction	These results indicate that NHE1 expression decreased in response to extensive myocardial infarction only in non-infarcted myocardium.
1689	J. Inhibition	H. Benefit	1	angiotensin II	heart failure	Multiple studies have confirmed that angiotensin-converting enzyme (ACE) inhibitors, which block the formation of angiotensin II, lower blood pressure and also improve heart failure.
1690	I. None	A. Treat	1	tissue plasminogen activator	stroke	To determine the prevalence of the hyperdense middle cerebral artery sign (HMCAS) in an acute stroke population (treated with intravenous tissue plasminogen activator (tPA) within 90 minutes of stroke onset); to correlate the presence/absence of the sign with arteriographic findings; and to correlate the HMCAS with the volume of subsequent infarction.
1691	C. Activation	E. Associate	0	ACAT	coronary artery disease	To test the hypothesis whether low density lipoprotein (LDL) poor in cholesteryl ester from patients with coronary artery disease (CAD) express reduced capacity to regulate cellular sterol and lipoprotein metabolism, we compared the abilities of CAD-LDL and control-LDL to suppress receptor-mediated LDL degradation; activate acyl-CoA: cholesterol acyltransferase (ACAT); and regulate sterol synthesis rates in HL-60 promyelocytic leukemic cells.
1692	L. Be regulated	A. Treat	1	vasopressin V2 receptors	heart failure	Vaptans acting on the vasopressin V2 receptors (aquaretics) have attracted attention as a possible therapy for heart failure and polycystic kidney disease.
1693	A. Expression	E. Associate	0	MPO	unstable angina	The aim of this study was to evaluate alterations in soluble intercellular adhesion molecule-1 (sICAM-1), soluble vascular cell adhesion molecule-1 (sVCAM-1), soluble E-selectin (sE-selectin), matrix metalloproteinase-9 (MMP-9), plasminogen activator inhibitor-1 (PAI-1), and myeloperoxidase (MPO) levels, and their relation to insulin resistance in coronary artery disease (CAD) patients with stable and unstable angina (SAP, UAP).
1694	A. Expression	E. Associate	1	TBX5	heart disease	[The mechanism of TBX5 abnormal expression in simple congenital heart disease].
1695	L. Be regulated	E. Associate	1	EPHA4	ischemic stroke	Our previous study indicated that microRNA 145 (miR-145) and its predicated target, erythropoietin-producing hepatoma (EPH) receptor A4 (EPHA4), was closely associated with ischemic stroke.
1696	H. Other	C. Cause	1	JAK2	cardiovascular disease	Thus, growth restriction alters specific targets in the JAK/STAT signalling pathway, with altered JAK2 and STAT3 potentially contributing to the increased risk of cardiovascular disease in the growth restricted males.
1697	I. None	G. Marker	1	cystatin C	coronary artery disease	Furthermore, evaluation of the feasibility of cathepsins as a diagnostic tool has revealed that the serum cathepsins S and L and the endogenous inhibitor cystatin C hold promise as biomarkers of coronary artery disease and aneurysm formation.
1698	I. None	B. Target	1	SR	stroke	The enzyme responsible for D-serine biosynthesis, serine racemase (SR), is therefore a promising target for treatment of neuropathologies related to glutamate receptor excitotoxicity, such as stroke or Alzheimer's disease.
1699	A.2 Under-expression	H. Benefit	1	TF	coronary artery disease	Inhibition of monocyte TF expression and attenuation of the persistent hypercoagulable state observed in cardiac transplant recipients during treatment with simvastatin may represent an important mechanism by which HMG-CoA reductase inhibitors protect against the development of transplant coronary artery disease.
1700	I. None	B. Target	1	ang2	cerebral ischemia	We propose that Ang2 represents a pertinent molecular target for the treatment of cerebral ischemia since acute brain damage may be limited by a pharmacological protection of the vascular compartment.
1701	J. Inhibition	A. Treat	1	ACE	ischaemic heart disease	Thus effective ACE inhibition impacts very positively on cardiovascular outcomes in patients with ischaemic heart disease, particularly in diabetic patients.
1702	D.1 Mutation	C. Cause	1	desmin	sudden cardiac death	The evaluation of risk of arrhythmia in familial forms of heart failure may benefit from genetic testing, as mutations in the genes encoding lamin A/C, desmin, and cardiac troponin T are associated with increased risk of sudden cardiac death.
1703	I. None	E. Associate	0	brdu	stroke	The mitotic marker BrdU was given on days 5 to 7, and TNF-alpha antibody or control protein was infused into the lateral ventricle of the ischemic hemisphere from day 8 to 14 after stroke.
1704	D.1 Mutation	C. Cause	1	chloramphenicol	cardiomyopathy	The mtDNA 16S rRNA chloramphenicol (CAP) resistance mutation was introduced into the mouse female germline and caused cataracts and rod and cone abnormalities in chimeras and neonatal lethal myopathy and cardiomyopathy in mutant animals.
1705	I. None	A. Treat	1	tissue plasminogen activator	embolic stroke	Thrombolytic therapy with recombinant tissue plasminogen activator may be safe and effective when there are no early computed tomographic findings within 3 hours from the onset of embolic stroke.
1706	L.1 Up-regulation	H. Benefit	1	BDNF	stroke	The oxygen-glucose deprivation in vitro model of stroke further demonstrated that "cold" rat splenocytes protected rat primary neurons by upregulating BDNF and IL-10.
1707	I. None	H. Benefit	1	tgf-beta1	cerebral ischemia	Taken as a whole, these results suggest that TGF-beta1 is an important neuroprotective factor that can reduce damage from a widearray of death-inducing agents/insults in vitro, as well as exert protection of the brain during cerebral ischemia.
1708	I. None	E. Associate	0	ALOX5AP	coronary artery disease	To assess the role of the leukotriene pathway in CVD pathogenesis, we performed genetic association studies of ALOX5AP and LTA4H in a family based study of early onset coronary artery disease (EOCAD) (GENECARD, 1,101 families) and in a non-familial dataset of EOCAD (CATHGEN, 656 cases and 405 controls).
1709	A. Expression	E. Associate	0	t-pa	ischemic stroke	Effects of nicotine treatment (4.5 mg/kg of nicotine-free base/day administered s.c. by osmotic minipumps for 14 days) on focal ischemic stroke and expression of tissue plasminogen activator (t-PA) and plasminogen activator inhibitor-1 (PAI-1) in cerebral microvessels were studied in rats in vivo using a reversible (1 h) middle cerebral artery occlusion model.
1710	I. None	H. Benefit	1	CGRP	arteriopathy	CGRP and endogenous E2 are independent protective factors in the development of coronary arteriopathy.
1711	D.1 Mutation	C. Cause	1	GLA	fabry disease	Fabry disease (OMIM 301500) is a rare X-linked recessive disorder caused by mutations in the alpha-galactosidase gene (GLA).
1712	D.1 Mutation	E. Associate	0	FGF16	heart disease	Identification of three novel FGF16 mutations in X-linked recessive fusion of the fourth and fifth metacarpals and possible correlation with heart disease.
1713	J. Inhibition	B. Target	1	CETP	coronary heart disease	Inhibition of CETP raises HDL cholesterol (good cholesterol) levels and reduces LDL cholesterol (bad cholesterol) levels, making it a promising drug target for the prevention and treatment of coronary heart disease.
1714	J. Inhibition	A. Treat	1	thrombin	stroke	Recently, the United States Food and Drug Administration approved the oral direct thrombin inhibitor dabigatran etexilate to reduce the risk of stroke and systemic embolism in patients with nonvalvular atrial fibrillation.
1715	G. Regulate	H. Benefit	1	EPO	cardiomyopathy	Our results suggest that EPO exerts preventive cardioprotective effects on DOX-induced cardiomyopathy via anti-apoptotic pathways.
1716	I. None	E. Associate	1	lumican	carotid atherosclerosis	Circulating lumican was independently associated with carotid atherosclerosis plaque in essential hypertensive patients, indicating that SLRPs might be used as a promising molecular marker for atherosclerosis.
1717	A. Expression	E. Associate	0	chymase	ischemic heart disease	We address here whether Ang-(1-12) and chymase gene expression and activity are detected in the atrial appendages of 44 patients (10 females) undergoing heart surgery for the correction of valvular heart disease, resistant atrial fibrillation or ischemic heart disease.
1718	D.1 Mutation	E. Associate	1	SERPINE1	coronary atherosclerosis	Genetic variations of the serine proteinase inhibitor family E member 1 (SERPINE1) gene, which encodes plasminogen activator inhibitor 1, correlate with serum levels of its product and are associated with thrombophilia and coronary atherosclerosis.
1719	A. Expression	G. Marker	0	PRMT5	acute myocardial infarction	The purpose of this research is to determine whether the expression levels of the PRMT5 gene in peripheral blood can be used as a biomarker for predicting the risk of Acute Myocardial Infarction (AMI).
1720	A.1 Over-expression	E. Associate	1	CD63	ischemic stroke	The expressions of CD63 and P-selectin on platelets were significantly higher in patients with atherosclerotic ischemic stroke (n = 25) than in normal subjects (n = 24).
1721	A. Expression	E. Associate	0	epithelial cell adhesion molecule	ischemic stroke	Serum levels of D-dimer and EVs expressing markers for cancer cells (epithelial cell adhesion molecule [CD326]), tissue factor (TF [CD142]), endothelial cells (CD31+CD42b-), and platelets (CD62P) were measured using flow cytometry in (a) 155 patients with ischemic stroke and active cancer (116 - cancer-related, 39 - conventional stroke mechanisms), (b) 25 patients with ischemic stroke without cancer, (c) 32 cancer patients without stroke, and (d) 101 healthy subjects.
1722	L. Be regulated	E. Associate	0	NLRP3	coronary heart disease	This study aimed to identify the role of microRNA-22 (miR-22) in endothelial cell (EC) injury in coronary heart disease (CHD) by targeting NLRP3 through the inflammasome signaling pathway.
1723	D.1 Mutation	C. Cause	1	TET2	cardiovascular disease	Age-Associated TET2 Mutations: Common Drivers of Myeloid Dysfunction, Cancer and Cardiovascular Disease.
1724	I. None	A. Treat	1	beta-blocker	heart failure	Beta-blocker and positive inotropic therapies are currently viewed as alternative strategies for the management of severe heart failure patients.
1725	A.2 Under-expression	E. Associate	1	TCF7L2	coronary artery disease	Mice with a coronary artery disease-linked mutation in Wnt-coreceptor LRP6 exhibit vascular smooth muscle cell dedifferentiation and obstructive coronary artery disease, which are paradoxically associated with reduced TCF7L2 expression.
1726	J. Inhibition	A. Treat	1	thrombin	myocardial infarction	Heparin is currently the standard therapy, but we showed that the direct thrombin inhibitor bivalirudin may be an attractive alternative by causing less bleeding events, and a higher frequency of preprocedure thrombolysis in myocardial infarction (TIMI) 3 flow.
1727	I. None	B. Target	1	hsp20	stroke	These findings suggest that Hsp20 is a potential drug target for ischemia stroke treatment.
1728	J. Inhibition	A. Treat	1	angiotensin converting enzyme	cardiac failure	Combined inhibition of neutral endopeptidase 24.11 (NEP) and angiotensin converting enzyme (ACE) is a candidate therapy for hypertension and cardiac failure.
1729	I. None	B. Target	1	NHE1	heart disease	Mitochondrial NHE1: a newly identified target to prevent heart disease.
1730	H. Other	B. Target	1	G6PD	cardiomyopathy	These findings demonstrate that dysregulation of G6PD activity is necessary and sufficient for maladaptive reductive stress and suggest a novel therapeutic target for abrogating R120GCryAB cardiomyopathy and heart failure in humans.
1731	I. None	B. Target	1	NADPH oxidase 4	cardiovascular disease	NADPH oxidase 4 (Nox4) as a major source of oxidative stress in the heart offers a new therapeutic target in cardiovascular disease.
1732	A. Expression	G. Marker	1	ANP	heart failure	The aim of this study was to evaluate in rats whether a wooden tube has any impact on cardiac morphology or on basal gene expression of atrial natriuretic peptide (ANP) and brain natriuretic peptide (BNP); known markers of cardiac overload, hypertrophy and heart failure.
1733	D.1 Mutation	E. Associate	1	GLA	fabry disease	We detected one patient with a mutation in GLA associated with classical Fabry Disease (M290I), ten subjects carrying genetic variants of uncertain diagnosis (S126G, R118C, A143T), and a girl with the non-characterized variant F18Y, which was not previously described.
1734	J. Inhibition	A. Treat	1	thrombin	stroke	Data from randomized, Phase III clinical trials of the novel oral anticoagulants, dabigatran, a direct thrombin inhibitor, and rivaroxaban and apixaban, both factor Xa inhibitors, indicate these drugs are at least noninferior to warfarin for the prevention of stroke and systemic embolism.
1735	A. Expression	E. Associate	1	natriuretic peptides	heart failure	Yet the expression and serum levels of chromogranins and natriuretic peptides have been closely correlated with pathological cardiac hypertrophy and heart failure.
